"keys","en","fr"
"Nobody remembers the small ones. +0.8x per stake level above the first.","Nobody remembers the small ones. +0.8x per stake level above the first.","Personne ne se souvient des petites mises. +0,8x par niveau de mise au-dessus du premier."
"Jaw Plate","Jaw Plate","La Plaque de Mâchoire"
"A drum held is a drum that pays. +1.0x per reel held for the spin.","A drum held is a drum that pays. +1.0x per reel held for the spin.","Un tambour retenu est un tambour qui paie. +1,0x par rouleau retenu pour le lancer."
"Promissory Note","Promissory Note","Le Billet à Ordre"
"Signed, and worth more the longer it stands. +0.12x per 100 owed, up to +1.2x.","Signed, and worth more the longer it stands. +0.12x per 100 owed, up to +1.2x.","Signé, et qui vaut d'autant plus qu'il dure. +0,12x par tranche de 100 dus, jusqu'à +1,2x."
"Spare Pawl","Spare Pawl","Le Cliquet de Rechange"
"Two more teeth on the wheel. Every award the machine makes carries 2 more nudges.","Two more teeth on the wheel. Every award the machine makes carries 2 more nudges.","Deux dents de plus sur la roue. Chaque récompense de la machine porte 2 poussées de plus."
"Switch Yard","Switch Yard","La Gare de Triage"
"Everything on the floor runs through it. +0.45x per other device that fired.","Everything on the floor runs through it. +0.45x per other device that fired.","Tout, sur l'étage, passe par elle. +0,45x par autre appareil qui s'est déclenché."
"The Governor","The Governor","Le Régulateur"
"Time not spent is time paid for. +0.5x per spin still left on the floor, up to +6.0x.","Time not spent is time paid for. +0.5x per spin still left on the floor, up to +6.0x.","Le temps non dépensé est un temps payé. +0,5x par lancer restant sur l'étage, jusqu'à +6,0x."
"The Long Haul","The Long Haul","Le Long Trajet"
"Every step of it, paid at the end. +3.6x per nudge spent on the board.","Every step of it, paid at the end. +3.6x per nudge spent on the board.","Chaque pas, payé à la fin. +3,6x par poussée dépensée sur le plateau."
"The Ratchet","The Ratchet","Le Rochet"
"Every stop the drum is told to make. +1.0x per nudge spent on the board.","Every stop the drum is told to make. +1.0x per nudge spent on the board.","Chaque arrêt que le tambour reçoit l'ordre de faire. +1,0x par poussée dépensée sur le plateau."
"The Vice","The Vice","Le Vice"
"It does not let go, and it charges for the grip. +4.5x per reel held for the spin.","It does not let go, and it charges for the grip. +4.5x per reel held for the spin.","Il ne lâche jamais, et il facture la prise. +4,5x par rouleau retenu pour le lancer."
"Undertaker's Cut","Undertaker's Cut","La Part du Croque-Mort"
"The House pays for the ones it buries. +0.35x per skull standing.","The House pays for the ones it buries. +0.35x per skull standing.","La Maison paie pour ceux qu'elle enterre. +0,35x par crâne debout."
"Windfall","Windfall","L'Aubaine"
"Every bushel counted since the basement. +0.11x per fruit landed this run, up to +13.0x.","Every bushel counted since the basement. +0.11x per fruit landed this run, up to +13.0x.","Chaque boisseau compté depuis le sous-sol. +0,11x par fruit tombé cette partie, jusqu'à +13,0x."
"Deferred Terms","Deferred Terms","Conditions Différées"
"Three more pulls, taken out of the bars, which pay 10 less for the floor.","Three more pulls, taken out of the bars, which pay 10 less for the floor.","Trois lancers de plus, prélevés sur les Bars, qui paient 10 de moins pour l'étage."
"The Gilder's Terms","The Gilder's Terms","Les Conditions du Doreur"
"The sevens are gilded for the night. The floor is a quarter dearer for the gold.","The sevens are gilded for the night. The floor is a quarter dearer for the gold.","Les sept chanceux sont dorés pour la nuit. L'étage coûte un quart de plus pour cet or."
"House Scrip","House Scrip","Les Jetons de la Maison"
"Paid in full and in the House's own paper. The drums stop where they stop.","Paid in full and in the House's own paper. The drums stop where they stop.","Payé intégralement, et dans le papier de la Maison elle-même. Les tambours s'arrêtent où ils s'arrêtent."
"Night Rate","Night Rate","Le Tarif de Nuit"
"The interest sleeps while you do not. Two fewer pulls on the floor for it.","The interest sleeps while you do not. Two fewer pulls on the floor for it.","L'intérêt dort pendant que vous ne dormez pas. Deux lancers de moins sur l'étage, en échange."
"No Questions","No Questions","Sans Questions"
"Nobody asks where it came from. The interest asks for everything else.","Nobody asks where it came from. The interest asks for everything else.","Personne ne demande d'où ça vient. L'intérêt, lui, demande tout le reste."
"Piecework","Piecework","Le Travail à la Pièce"
"Paid by the stop, not by the hour. Every award carries a nudge; the ante is 15% dearer.","Paid by the stop, not by the hour. Every award carries a nudge; the ante is 15% dearer.","Payé à l'arrêt, pas à l'heure. Chaque récompense porte une poussée ; l'ante coûte 15 % de plus."
"The Bone Clause","The Bone Clause","La Clause des Ossements"
"The dead are on the payroll, and the House is hiring. Skulls pay 8; more of them are printed.","The dead are on the payroll, and the House is hiring. Skulls pay 8; more of them are printed.","Les morts sont sur la paie, et la Maison embauche. Les crânes paient 8 ; on en imprime davantage."
"The Clean Line","The Clean Line","La Ligne Nette"
"The whole line pays, and everything short of it pays 20% less.","The whole line pays, and everything short of it pays 20% less.","La ligne entière paie, et tout ce qui n'y arrive pas paie 20 % de moins."
"The Swap","The Swap","L'Échange"
"The sevens come up from the store. Something has to go back down.","The sevens come up from the store. Something has to go back down.","Les sept chanceux remontent de la réserve. Quelque chose doit redescendre."
"The whole line pays four times over. Everything short of it pays 8% less.","The whole line pays four times over. Everything short of it pays 8% less.","La ligne entière paie quatre fois sa valeur. Tout ce qui n'y arrive pas paie 8 % de moins."
"The Bar's Mark","The Bar's Mark","La Marque du Bar"
"The next spin, the last drum lands on a double bar. An old schedule, still honoured.","The next spin, the last drum lands on a double bar. An old schedule, still honoured.","Au prochain lancer, le dernier tambour s'arrête sur un Double Bar. Un vieux barème, toujours honoré."
"The Bone Mark","The Bone Mark","La Marque des Ossements"
"The next spin, the last drum lands on a skull. Cheap, for obvious reasons, and worth it to a payroll.","The next spin, the last drum lands on a skull. Cheap, for obvious reasons, and worth it to a payroll.","Au prochain lancer, le dernier tambour s'arrête sur un crâne. Bon marché, pour des raisons évidentes, et rentable pour une paie."
"The Draught","The Draught","Le Courant d'Air"
"A window open somewhere. Eighteen off the count, and nobody says who opened it.","A window open somewhere. Eighteen off the count, and nobody says who opened it.","Une fenêtre ouverte quelque part. Dix-huit de moins sur la surveillance, et personne ne dit qui l'a ouverte."
"The Extension","The Extension","La Prolongation"
"The floor's interest is added to the principal instead of taken. The House is patient at a price.","The floor's interest is added to the principal instead of taken. The House is patient at a price.","L'intérêt de l'étage s'ajoute au principal au lieu d'être prélevé. La Maison est patiente, à un prix."
"The Extractor","The Extractor","L'Extracteur"
"The whole room cleared of it. Seventy off the count, on the floor where the count is the game.","The whole room cleared of it. Seventy off the count, on the floor where the count is the game.","Toute la salle en est débarrassée. Soixante-dix de moins sur la surveillance, sur l'étage où la surveillance est le jeu."
"The Long Look","The Long Look","Le Long Regard"
"The next line, printed before it is spun. Knowing late is still knowing.","The next line, printed before it is spun. Knowing late is still knowing.","La prochaine ligne, imprimée avant même le lancer. Savoir tard, c'est savoir quand même."
"The Second Look","The Second Look","Le Second Regard"
"The last drum, turned again while the decision stands. Dearer up here, and worth more.","The last drum, turned again while the decision stands. Dearer up here, and worth more.","Le dernier tambour, tourné à nouveau tant que la décision tient. Plus cher ici, et ça vaut plus."
"The Seven's Mark","The Seven's Mark","La Marque du Sept"
"The next spin, the last drum lands on a seven. Marked by somebody who owed a favour.","The next spin, the last drum lands on a seven. Marked by somebody who owed a favour.","Au prochain lancer, le dernier tambour s'arrête sur un sept. Marqué par quelqu'un qui devait un service."
"A door left open somewhere. Eighteen off the count, and nobody says who left it.","A door left open somewhere. Eighteen off the count, and nobody says who left it.","Une porte laissée ouverte quelque part. Dix-huit de moins sur la surveillance, et personne ne dit qui l'a laissée."
"The Crowbar","The Crowbar","Le Pied-de-Biche"
"Three more stops, taken rather than given. Nobody asks where it came from.","Three more stops, taken rather than given. Nobody asks where it came from.","Trois arrêts de plus, pris plutôt que donnés. Personne ne demande d'où ça vient."
"The Late Pass","The Late Pass","Le Laissez-Passer Tardif"
"Two more pulls on a floor that was closing. Signed by somebody on the night shift.","Two more pulls on a floor that was closing. Signed by somebody on the night shift.","Deux lancers de plus sur un étage qui fermait. Signé par quelqu'un de l'équipe de nuit."
"The Lock-In","The Lock-In","Le Verrouillage"
"Five more pulls, and the doors stay as they are. The House charges for the hour, not the hospitality.","Five more pulls, and the doors stay as they are. The House charges for the hour, not the hospitality.","Cinq lancers de plus, et les portes restent telles quelles. La Maison facture l'heure, pas l'hospitalité."
"The Shim","The Shim","La Cale"
"One more stop on a board that has already landed. Somebody left it under the drum.","One more stop on a board that has already landed. Somebody left it under the drum.","Un arrêt de plus sur un plateau déjà posé. Quelqu'un l'a laissé sous le tambour."
"Each floor is dearer
than the one before.","Each floor is dearer
than the one before.","Chaque étage coûte plus cher
que le précédent."
"The reel has been
thinned again.","The reel has been
thinned again.","Le rouleau a été
allégé, encore."
"We took the sevens
back. The debt stays.","We took the sevens
back. The debt stays.","Nous avons repris
les sept chanceux. La dette reste."
"You beat the House
and asked for a chair.","You beat the House
and asked for a chair.","Vous avez battu la Maison
et demandé une chaise."
"You took the offer.
We took a share.","You took the offer.
We took a share.","Vous avez pris l'offre.
Nous avons pris une part."
"The account is clear.
The chair is not.","The account is clear.
The chair is not.","Le compte est soldé.
La chaise ne l'est pas."
"You have outlasted
the building. Not us.","You have outlasted
the building. Not us.","Vous avez survécu
à l'immeuble. Pas à nous."
"The debt is keeping
pace with the table.","The debt is keeping
pace with the table.","La dette suit
le rythme de la table."
"You owe us nothing.
You are still sitting.","You owe us nothing.
You are still sitting.","Vous ne nous devez rien.
Vous êtes toujours assis."
"The reel is thinner
and the debt is not.","The reel is thinner
and the debt is not.","Le rouleau est plus mince,
et la dette ne l'est pas."
"We are taking a share.
You are still short.","We are taking a share.
You are still short.","Nous prenons une part.
Il vous en manque toujours."
"You are nearly clear.
That is when we count.","You are nearly clear.
That is when we count.","Vous êtes presque quitte.
C'est là que nous comptons."
"The debt came with you.
The machine did not.","The debt came with you.
The machine did not.","La dette est venue avec vous.
La machine, non."
"We have your number.
We do not need a name.","We have your number.
We do not need a name.","Nous avons votre numéro.
Nous n'avons pas besoin d'un nom."
"What you bought here
is on the account.","What you bought here
is on the account.","Ce que vous avez acheté ici
est porté au compte."
"Raise what you like.
The debt rises with it.","Raise what you like.
The debt rises with it.","Misez ce que vous voulez.
La dette monte avec."
"The vault is deep.
Your account is deeper.","The vault is deep.
Your account is deeper.","Le coffre est profond.
Votre compte l'est davantage."
"You may sign for more.
Most debtors do.","You may sign for more.
Most debtors do.","Vous pouvez signer pour plus.
La plupart des débiteurs le font."
"The room works for you.
The room is not free.","The room works for you.
The room is not free.","La salle travaille pour vous.
La salle n'est pas gratuite."
"The last floor, and
the account still open.","The last floor, and
the account still open.","Le dernier étage, et
le compte encore ouvert."
"What is left of the debt
would fit on one line.","What is left of the debt
would fit on one line.","Ce qu'il reste de la dette
tiendrait sur une ligne."
"Double Entry","Double Entry","Partie Double"
"Every pair is entered twice over. The floor's interest is written up 30 for the second entry.","Every pair is entered twice over. The floor's interest is written up 30 for the second entry.","Chaque paire est inscrite deux fois. L'intérêt de l'étage est majoré de 30 pour la seconde inscription."
"Full Chime","Full Chime","Plein Carillon"
"Every bell is gilded 18 above its face. Everything the machine pays comes back 10% lighter for the metal.","Every bell is gilded 18 above its face. Everything the machine pays comes back 10% lighter for the metal.","Chaque cloche est dorée à 18 au-dessus de sa valeur faciale. Tout ce que la machine paie revient 10 % plus léger, pour ce métal."
"Paid Mourners","Paid Mourners","Les Pleureuses Payées"
"Nine a head for the skulls, and they cost nothing further. The wage comes out of the whole line, which now pays a third.","Nine a head for the skulls, and they cost nothing further. The wage comes out of the whole line, which now pays a third.","Neuf par tête pour les crânes, et ils ne coûtent plus rien ensuite. Le salaire est prélevé sur la ligne entière, qui ne paie plus qu'un tiers."
"Standing Room","Standing Room","Places Debout"
"Three more pulls at the machine. The floor is 30% dearer to leave for them.","Three more pulls at the machine. The floor is 30% dearer to leave for them.","Trois lancers de plus à la machine. L'étage coûte 30 % de plus à quitter, en échange."
"The Composition","The Composition","Le Concordat"
"The desk will take 30% less to let the floor go. It keeps 15% of everything the machine pays instead.","The desk will take 30% less to let the floor go. It keeps 15% of everything the machine pays instead.","Le bureau prendra 30 % de moins pour vous laisser quitter l'étage. Il garde en échange 15 % de tout ce que la machine paie."
"The Premium","The Premium","La Prime"
"Everything pays 70% more tonight. The ante is up a fifth, and it falls due either way.","Everything pays 70% more tonight. The ante is up a fifth, and it falls due either way.","Tout paie 70 % de plus ce soir. L'ante augmente d'un cinquième, et elle est due de toute façon."
"The Reprint","The Reprint","La Réimpression"
"Sixteen more sevens are printed onto the drum. The bells come back from the press worth nothing.","Sixteen more sevens are printed onto the drum. The bells come back from the press worth nothing.","Seize sept chanceux de plus sont imprimés sur le tambour. Les cloches ressortent de la presse sans aucune valeur."
"The Slow Hand","The Slow Hand","La Main Lente"
"Two nudges come with every award. Eight more skulls are printed onto the drum, for the practice.","Two nudges come with every award. Eight more skulls are printed onto the drum, for the practice.","Deux poussées accompagnent chaque récompense. Huit crânes de plus sont imprimés sur le tambour, pour la pratique."
"Counter Jaw","Counter Jaw","La Mâchoire Opposée"
"A jaw is no use without something to close against. +2.0x while you own the Reel Clamp.","A jaw is no use without something to close against. +2.0x while you own the Reel Clamp.","Une mâchoire ne sert à rien sans quelque chose contre quoi se refermer. +2,0x tant que vous possédez la Pince à Rouleau."
"Death in Service","Death in Service","Décès en Service"
"The clause that pays when the worst of it happens. Each skull pays 5 instead of costing you.","The clause that pays when the worst of it happens. Each skull pays 5 instead of costing you.","La clause qui paie quand le pire arrive. Chaque crâne paie 5 au lieu de vous coûter."
"Head of Steam","Head of Steam","Pleine Vapeur"
"Highest at the start of a floor, and falling from there. +0.12x per spin left on the floor, up to +2.0x.","Highest at the start of a floor, and falling from there. +0.12x per spin left on the floor, up to +2.0x.","Au plus haut au début de l'étage, puis en baisse. +0,12x par lancer restant sur l'étage, jusqu'à +2,0x."
"Headcount","Headcount","Le Recensement"
"The House counts the dead the way it counts everything. +1.2x per skull standing.","The House counts the dead the way it counts everything. +1.2x per skull standing.","La Maison compte les morts comme elle compte tout le reste. +1,2x par crâne debout."
"Holding Frame","Holding Frame","Le Bâti de Maintien"
"The frame takes the strain the drums will not. +2.4x per reel held for the spin.","The frame takes the strain the drums will not. +2.4x per reel held for the spin.","Le bâti absorbe la tension que les tambours refusent. +2,4x par rouleau retenu pour le lancer."
"House Manners","House Manners","Les Bonnes Manières de la Maison"
"Win, and say nothing about it. The House notices 15% less of what you win.","Win, and say nothing about it. The House notices 15% less of what you win.","Gagnez, et n'en dites rien. La Maison remarque 15 % de moins de ce que vous gagnez."
"Long Service","Long Service","Longs Services"
"Nothing on the first floor, and a little more on every one after it. +0.2x for every floor already cleared.","Nothing on the first floor, and a little more on every one after it. +0.2x for every floor already cleared.","Rien au premier étage, et un peu plus à chacun des suivants. +0,2x par étage déjà franchi."
"Matched Pair","Matched Pair","La Paire Assortie"
"Two drums held and the third obliging. Pair lines gain +2.8x.","Two drums held and the third obliging. Pair lines gain +2.8x.","Deux tambours retenus et le troisième qui suit. Les lignes de paire gagnent +2,8x."
"Pawl Rack","Pawl Rack","Le Râtelier à Cliquets"
"A tooth for every stop the board owes. Every award the machine makes carries 3 more nudges.","A tooth for every stop the board owes. Every award the machine makes carries 3 more nudges.","Une dent pour chaque arrêt que le plateau doit. Chaque récompense de la machine porte 3 poussées de plus."
"Paying-In Book","Paying-In Book","Le Carnet de Versements"
"One page for every account you have opened. +0.25x per bank device owned.","One page for every account you have opened. +0.25x per bank device owned.","Une page pour chaque compte que vous avez ouvert. +0,25x par appareil bancaire possédé."
"Petty Cash","Petty Cash","La Petite Caisse"
"A sum too small for the House to bother counting. Every spin pays 6 more, win or lose.","A sum too small for the House to bother counting. Every spin pays 6 more, win or lose.","Une somme trop modeste pour que la Maison prenne la peine de la compter. Chaque lancer paie 6 de plus, qu'il gagne ou qu'il perde."
"Run of Form","Run of Form","La Bonne Forme"
"The book keeps a column for it. +0.35x per paying spin in a row, up to +4.0x.","The book keeps a column for it. +0.35x per paying spin in a row, up to +4.0x.","Le registre lui tient une colonne. +0,35x par lancer payant d'affilée, jusqu'à +4,0x."
"Table Limit","Table Limit","La Limite de Table"
"The limit is where the House expects a debtor to stop. +1.5x per stake level above the first.","The limit is where the House expects a debtor to stop. +1.5x per stake level above the first.","La limite, c'est là où la Maison s'attend à ce qu'un débiteur s'arrête. +1,5x par niveau de mise au-dessus du premier."
"The Surety","The Surety","La Caution"
"It reads what you signed, not what you hold. +0.8x for every 100 owed, up to +6.0x.","It reads what you signed, not what you hold. +0.8x for every 100 owed, up to +6.0x.","Elle lit ce que vous avez signé, pas ce que vous détenez. +0,8x par tranche de 100 dus, jusqu'à +6,0x."
"Twin Jaws","Twin Jaws","Les Mâchoires Jumelles"
"One grip is a hold. Two is an arrangement. +3.0x while you own Lockstep.","One grip is a hold. Two is an arrangement. +3.0x while you own Lockstep.","Une prise, c'est une retenue. Deux, c'est un arrangement. +3,0x tant que vous possédez le Pas Cadencé."
"Vernier Scale","Vernier Scale","Le Vernier"
"It reads the part of the drop nobody else can see. +1.8x per nudge spent on the board.","It reads the part of the drop nobody else can see. +1.8x per nudge spent on the board.","Il lit la part de la chute que personne d'autre ne voit. +1,8x par poussée dépensée sur le plateau."
"Scrip Held Back","Scrip Held Back","Jetons Retenus"
"The stipend is being held back against a shortfall on another floor. Fewer chips at the close, and less asked in credit at the door.","The stipend is being held back against a shortfall on another floor. Fewer chips at the close, and less asked in credit at the door.","L'allocation est retenue contre un déficit sur un autre étage. Moins de jetons à la clôture, et moins demandé en crédit à la porte."
"An Even Cut","An Even Cut","Une Coupe Régulière"
"The strip came back cut in even lengths. Nothing on it is rare tonight, and the door is dearer for the fact.","The strip came back cut in even lengths. Nothing on it is rare tonight, and the door is dearer for the fact.","La bande est revenue coupée en longueurs égales. Rien dessus n'est rare ce soir, et la porte en coûte plus cher."
"The Short Run","The Short Run","Le Tirage Court"
"There was not enough stock for a full strip. Less of everything, next to none of the rarest, and a spin added to make up the difference.","There was not enough stock for a full strip. Less of everything, next to none of the rarest, and a spin added to make up the difference.","Il n'y avait pas assez de stock pour une bande complète. Moins de tout, presque rien des plus rares, et un lancer ajouté pour compenser."
"The Joker's Shift","The Joker's Shift","L'Équipe du Joker"
"Somebody on the late shift has been printing jokers. They stand in for anything, and the House charges for anything.","Somebody on the late shift has been printing jokers. They stand in for anything, and the House charges for anything.","Quelqu'un de l'équipe tardive a imprimé des jokers. Ils remplacent n'importe quoi, et la Maison facture n'importe quoi."
"A Bad Print","A Bad Print","Une Mauvaise Impression"
"The skulls were printed twice over and nobody stopped the run. What gets past them is paid at a better rate.","The skulls were printed twice over and nobody stopped the run. What gets past them is paid at a better rate.","Les crânes ont été imprimés deux fois, et personne n'a arrêté le tirage. Ce qui passe malgré eux est payé à un meilleur taux."
"A Bare Orchard","A Bare Orchard","Un Verger Dépouillé"
"The fruit has been struck off the strip. What is left is worth more and matches less often, and the House lets the door go cheaper.","The fruit has been struck off the strip. What is left is worth more and matches less often, and the House lets the door go cheaper.","Les fruits ont été retirés de la bande. Ce qui reste vaut plus et s'assortit moins souvent, et la Maison laisse la porte moins chère."
"The Late Sitting","The Late Sitting","La Séance Tardive"
"The room sits late. Two spins more on the allowance, the machines a shade colder for them, and the door dearer at the end.","The room sits late. Two spins more on the allowance, the machines a shade colder for them, and the door dearer at the end.","La salle veille tard. Deux lancers de plus sur l'allocation, les machines un peu plus froides pour eux, et la porte plus chère à la fin."
"The Cage","The Cage","La Caisse"
"The cage has stamped its own mark the length of the strip. It pays in scrip wherever it lands, and the House takes the difference in credit at the door.","The cage has stamped its own mark the length of the strip. It pays in scrip wherever it lands, and the House takes the difference in credit at the door.","La caisse a apposé sa propre marque sur toute la longueur de la bande. Elle paie en jetons partout où elle tombe, et la Maison prend la différence en crédit à la porte."
"A Short Float","A Short Float","Une Trésorerie Courte"
"A Full Room","A Full Room","Une Salle Comble"
"Nobody Playing","Nobody Playing","Personne ne Joue"
"The Crack","The Crack","The Crack"
"A crack under the door, this early. Ten off the count, and nobody downstairs notices.","A crack under the door, this early. Ten off the count, and nobody downstairs notices.","A crack under the door, this early. Ten off the count, and nobody downstairs notices."
"The Grace","The Grace","The Grace"
"The vig on this floor is deferred. It is folded into the principal, and the House does not forget it.","The vig on this floor is deferred. It is folded into the principal, and the House does not forget it.","The vig on this floor is deferred. It is folded into the principal, and the House does not forget it."
"The Ice Mark","The Ice Mark","The Ice Mark"
"The next spin, the last drum lands on a diamond. Ice like that does not mark itself.","The next spin, the last drum lands on a diamond. Ice like that does not mark itself.","The next spin, the last drum lands on a diamond. Ice like that does not mark itself."
"The Last Call","The Last Call","The Last Call"
"Seven more pulls on the floor that keeps its own count. Signed by somebody who had nowhere else to be.","Seven more pulls on the floor that keeps its own count. Signed by somebody who had nowhere else to be.","Seven more pulls on the floor that keeps its own count. Signed by somebody who had nowhere else to be."
"The Last Look","The Last Look","The Last Look"
"The next line, printed before it is spun, on the floor where the House deals for itself too. It shows you that much, and no more.","The next line, printed before it is spun, on the floor where the House deals for itself too. It shows you that much, and no more.","The next line, printed before it is spun, on the floor where the House deals for itself too. It shows you that much, and no more."
"The Third Look","The Third Look","The Third Look"
"The last drum, turned again, on the one floor where the House is also playing. Dearer again, and the House still signs it.","The last drum, turned again, on the one floor where the House is also playing. Dearer again, and the House still signs it.","The last drum, turned again, on the one floor where the House is also playing. Dearer again, and the House still signs it."
"The Wedge","The Wedge","The Wedge"
"Two more stops on a board that has already landed. Bigger than a shim, quieter than a crowbar.","Two more stops on a board that has already landed. Bigger than a shim, quieter than a crowbar.","Two more stops on a board that has already landed. Bigger than a shim, quieter than a crowbar."
"Coin","Coin","Coin"
"Padlock","Padlock","Padlock"
"Peach","Peach","Peach"
"Plum","Plum","Plum"
"Receipt","Receipt","Receipt"
"Pocket Watch","Pocket Watch","Pocket Watch"
"Bailiff","Bailiff","Bailiff"
"He collects what the Loan Shark lent. +3.0x while you own the Loan Shark.","He collects what the Loan Shark lent. +3.0x while you own the Loan Shark.","He collects what the Loan Shark lent. +3.0x while you own the Loan Shark."
"Collection Agency","Collection Agency","Collection Agency"
"Every creditor on the machine has been sold to one buyer. +0.45x per bank device owned.","Every creditor on the machine has been sold to one buyer. +0.45x per bank device owned.","Every creditor on the machine has been sold to one buyer. +0.45x per bank device owned."
"Deep Roots","Deep Roots","Deep Roots"
"The orchard goes down as far as it goes up. +9 draw weight on every fruit.","The orchard goes down as far as it goes up. +9 draw weight on every fruit.","The orchard goes down as far as it goes up. +9 draw weight on every fruit."
"Feeler Gauge","Feeler Gauge","Feeler Gauge"
"Reads the gap before the lever does. +1.1x per nudge spent on the board.","Reads the gap before the lever does. +1.1x per nudge spent on the board.","Reads the gap before the lever does. +1.1x per nudge spent on the board."
"The Final Clamp","The Final Clamp","The Final Clamp"
"The last jaw the frame has room for. +3.8x while you own the Holding Frame.","The last jaw the frame has room for. +3.8x while you own the Holding Frame.","The last jaw the frame has room for. +3.8x while you own the Holding Frame."
"The Full Rack","The Full Rack","The Full Rack"
"Every tooth the rack was missing, cut and fitted. Every award the machine makes carries 4 more nudges.","Every tooth the rack was missing, cut and fitted. Every award the machine makes carries 4 more nudges.","Every tooth the rack was missing, cut and fitted. Every award the machine makes carries 4 more nudges."
"Grading Table","Grading Table","Grading Table"
"Sorted by hand before it is weighed. Every fruit pays 4 more.","Sorted by hand before it is weighed. Every fruit pays 4 more.","Sorted by hand before it is weighed. Every fruit pays 4 more."
"Last Harvest","Last Harvest","Last Harvest"
"Everything the Fruit Ledger ever wrote down, called in at once. +4.2x while you own the Fruit Ledger.","Everything the Fruit Ledger ever wrote down, called in at once. +4.2x while you own the Fruit Ledger.","Everything the Fruit Ledger ever wrote down, called in at once. +4.2x while you own the Fruit Ledger."
"Lock Nut","Lock Nut","Lock Nut"
"A thread cut for two, and nothing spare for a third. Pair lines gain +1.2x.","A thread cut for two, and nothing spare for a third. Pair lines gain +1.2x.","A thread cut for two, and nothing spare for a third. Pair lines gain +1.2x."
"Locking Collar","Locking Collar","Locking Collar"
"A collar for a shaft that is already locked. +2.6x while you own Lockstep.","A collar for a shaft that is already locked. +2.6x while you own Lockstep.","A collar for a shaft that is already locked. +2.6x while you own Lockstep."
"Long Tally","Long Tally","Long Tally"
"Every skull since the basement, still on the books. +0.09x per skull landed this run, up to +6.0x.","Every skull since the basement, still on the books. +0.09x per skull landed this run, up to +6.0x.","Every skull since the basement, still on the books. +0.09x per skull landed this run, up to +6.0x."
"Off the Record","Off the Record","Off the Record"
"Some of what you win never makes the ledger. The House notices 25% less of what you win.","Some of what you win never makes the ledger. The House notices 25% less of what you win.","Some of what you win never makes the ledger. The House notices 25% less of what you win."
"On a Tear","On a Tear","On a Tear"
"The House watches a run like this closely, and pays out anyway. +0.3x per paying spin in a row, up to +3.2x.","The House watches a run like this closely, and pays out anyway. +0.3x per paying spin in a row, up to +3.2x.","The House watches a run like this closely, and pays out anyway. +0.3x per paying spin in a row, up to +3.2x."
"Opening Stake","Opening Stake","Opening Stake"
"Placed before the first reel has even turned. +0.3x per stake level above the first.","Placed before the first reel has even turned. +0.3x per stake level above the first.","Placed before the first reel has even turned. +0.3x per stake level above the first."
"Passbook","Passbook","Passbook"
"It is stamped whether you deposit or withdraw. +0.15x per bank device owned.","It is stamped whether you deposit or withdraw. +0.15x per bank device owned.","It is stamped whether you deposit or withdraw. +0.15x per bank device owned."
"Paymaster","Paymaster","Paymaster"
"He signs for every one the House loses. Each skull pays 8 instead of costing you.","He signs for every one the House loses. Each skull pays 8 instead of costing you.","He signs for every one the House loses. Each skull pays 8 instead of costing you."
"Some of what you win never makes the ledger. The House notices 18% less of what you win.","Some of what you win never makes the ledger. The House notices 18% less of what you win.","Some of what you win never makes the ledger. The House notices 18% less of what you win."
"No cameras, by arrangement. The House notices 30% less of what you win.","No cameras, by arrangement. The House notices 30% less of what you win.","No cameras, by arrangement. The House notices 30% less of what you win."
"Clover","Clover","Clover"
"Crown","Crown","Crown"
"Dice","Dice","Dice"
"Gold Bar","Gold Bar","Gold Bar"
"CONTROLS AND COUNTERS SHOWN","CONTROLS AND COUNTERS SHOWN","CONTROLS AND COUNTERS SHOWN"
"CONTROLS AND COUNTERS HIDDEN","CONTROLS AND COUNTERS HIDDEN","CONTROLS AND COUNTERS HIDDEN"
"STEADY","STEADY","STEADY"
"FLICKER, FLASH AND SHAKE","FLICKER, FLASH AND SHAKE","FLICKER, FLASH AND SHAKE"
"IN A WINDOW","IN A WINDOW","IN A WINDOW"
"WAIT FOR THE SCREEN","WAIT FOR THE SCREEN","WAIT FOR THE SCREEN"
"DRAW AS FAST AS IT CAN","DRAW AS FAST AS IT CAN","DRAW AS FAST AS IT CAN"
"ODDS","ODDS","ODDS"
"VAULT      %d","VAULT      %d","VAULT      %d"
"TERMS  %s","TERMS  %s","TERMS  %s"
"%s spin / advance     %s camera     %s new run","%s spin / advance     %s camera     %s new run","%s spin / advance     %s camera     %s new run"
"SLATE  %d cr owed","SLATE  %d cr owed","SLATE  %d cr owed"
"We saw that.","We saw that.","We saw that."
"That was ours.","That was ours.","That was ours."
"Noted, and counted.","Noted, and counted.","Noted, and counted."
"Close. We keep close.","Close. We keep close.","Close. We keep close."
"Nearly. We are patient.","Nearly. We are patient.","Nearly. We are patient."
"Not this one.","Not this one.","Not this one."
